"region","year","organizations","legaladdress","address"
"Республика Татарстан (Татарстан)","2023 год","Государственное бюджетное общеобразовательное учреждение «Заинская школа № 9 для детей с ограниченными возможностями здоровья»","423520, Республика Татарстан, район Заинский, г. Заинск, ул. Ленина, 26Г/1","423520, Республика Татарстан, район Заинский, г. Заинск, ул. Ленина, 26Г/1 423520, Республика Татарстан, район Заинский, г. Заинск, ул. Ленина, 26Г/1, стр. 1, Н1, 423520, Республика Татарстан, район Заинский, г. Заинск, ул. Ленина, 26А"
"Республика Татарстан (Татарстан)","2023 год","Государственное бюджетное общеобразовательное учреждение «Болгарская школа-интернат для детей с ограниченными возможностями здоровья»","422840, Республика Татарстан, район Спасский, г. Болгар, ул. Дзержинского, 3","422840, Республика Татарстан, район Спасский, г. Болгар, ул. Дзержинского, 3"
"Республика Татарстан (Татарстан)","2024 год","Государственное бюджетное общеобразовательное учреждение «Елабужская школа № 7 для детей с ограниченными возможностями здоровья»","423600, Республика Татарстан, район Елабужский, г. Елабуга, ул. Нефтяников, 109","423600, Республика Татарстан, район Елабужский, г. Елабуга, ул. Нефтяников, 109"
"Республика Татарстан (Татарстан)","2024 год","Государственное бюджетное общеобразовательное учреждение «Азнакаевская школа для детей с ограниченными возможностями здоровья»","423330, Республика Татарстан, район Азнакаевский, г. Азнакаево, ул. Школьная, д. 2","423330, Республика Татарстан, район Азнакаевский, г. Азнакаево, ул. Школьная, д. 2"
"Республика Татарстан (Татарстан)","2024 год","Государственное бюджетное общеобразовательное учреждение «Верхнечелнинская школа-интернат для детей с ограниченными возможностями здоровья»","423558, Республика Татарстан, район Нижнекамский, с. Верхние Челны, ул. Молодежная, 5","423558, Республика Татарстан, район Нижнекамский, с. Верхние Челны, ул. Молодежная, 5"
"Республика Татарстан (Татарстан)","2024 год","Государственное бюджетное общеобразовательное учреждение «Набережночелнинская школа № 68 для детей с ограниченными возможностями здоровья»","423825, Республика Татарстан, г. Набережные Челны, ул. Татарстан, 10","423825, Республика Татарстан, г. Набережные Челны, ул. Татарстан, 10"
"Республика Татарстан (Татарстан)","2024 год","Государственное бюджетное общеобразовательное учреждение «Набережночелнинская школа № 67 для детей с ограниченными возможностями здоровья»","423814, Республика Татарстан, г. Набережные Челны, бульв. Кол Гали, д. 26","423814, Республика Татарстан, г. Набережные Челны, бульв. Кол Гали, д. 26"
"Республика Татарстан (Татарстан)","2024 год","Государственное бюджетное общеобразовательное учреждение «Мамадышская школа-интернат для детей с ограниченными возможностями здоровья»","422190, Республика Татарстан, район Мамадышский, г. Мамадыш, ул. Гагарина, 12","422190, Республика Татарстан, район Мамадышский, г. Мамадыш, ул. Гагарина, 12"
"Республика Татарстан (Татарстан)","2024 год","Государственное бюджетное общеобразовательное учреждение «Лениногорская школа № 14 для детей с ограниченными возможностями здоровья»","423250, Республика Татарстан, район Лениногорский, г. Лениногорск, ул. Садриева, д.51А","423250, Республика Татарстан, район Лениногорский, г. Лениногорск, ул. Садриева, д.51А, стр. 1 423250, Республика Татарстан, район Лениногорский, г. Лениногорск, ул. Садриева, д.51А, стр. 2"
"Республика Татарстан (Татарстан)","2024 год","Государственное бюджетное общеобразовательное учреждение «Мензелинская школа-интернат для детей-сирот и детей, оставшихся без попечения родителей, с ограниченными возможностями здоровья»","423700, Республика Татарстан, район Мензелинский, г. Мензелинск, ул. Татарстан, 2А","423700, Республика Татарстан, район Мензелинский, г. Мензелинск, ул. Татарстан, 2А"
"Республика Татарстан (Татарстан)","2024 год","Государственное бюджетное общеобразовательное учреждение «Менделеевская школа для детей с ограниченными возможностями здоровья»","423650, Республика Татарстан, район Менделеевский, г. Менделеевск, ул. Набережная, 83","423650, Республика Татарстан, район Менделеевский, г. Менделеевск, ул. Набережная, 83"
"Республика Татарстан (Татарстан)","2024 год","Государственное бюджетное общеобразовательное учреждение «Маскаринская школа-интернат для детей с ограниченными возможностями здоровья»","422115, Республика Татарстан, район Кукморский, с. Маскара, ул. Центральная, 39","422115, Республика Татарстан, район Кукморский, с. Маскара, ул. Центральная, 39"
"Республика Татарстан (Татарстан)","2024 год","Государственное бюджетное общеобразовательное учреждение «Набережночелнинская школа № 69 для детей с ограниченными возможностями здоровья»","423803, Республика Татарстан, г. Набережные Челны, тракт Сармановский, 36","423803, Республика Татарстан, г. Набережные Челны, тракт Сармановский, 36"
"Республика Тыва","2020 год","Государственное бюджетное общеобразовательное учреждение «Кызыл-Арыгская школа-интернат»","668302, Республика Тыва, район Тандинский, с. Кызыл-Арыг, ул. Школьная, д. 16","668302, Республика Тыва, район Тандинский, с. Кызыл-Арыг, ул. Школьная, д. 16"
"Республика Тыва","2021 год","Государственное бюджетное общеобразовательное учреждение Республики Тыва «Средняя общеобразовательная школа № 10 для детей с ограниченными возможностями здоровья»","667007, Республика Тыва, г. Кызыл, ул. Оюна Курседи, д. 160","667007, Республика Тыва, г. Кызыл, ул. Оюна Курседи, д. 160"
"Республика Тыва","2021 год","Государственное бюджетное общеобразовательное учреждение Республики Тыва «Школа-интернат для детей с нарушениями опорно-двигательного аппарата»","668051, Республика Тыва, г. Ак-Довурак, ул. Данзырык Калдар-оола, д. 71 «В»","668051, Республика Тыва, г. Ак-Довурак, ул. Данзырык Калдар-оола, д. 71 «В»"
"Республика Тыва","2022 год","Государственное бюджетное общеобразовательное учреждение Республики Тыва «Школа-интернат для детей с нарушениями слуха»","667000, Республика Тыва, г. Кызыл, ул. Эрзинская (Спутник мкрн.), д. 8","667000, Республика Тыва, г. Кызыл, ул. Эрзинская (Спутник мкрн.), д. 8 667000, Республика Тыва, г. Кызыл, ул. Ленина, д. 3"
"Удмуртская Республика","2020 год","Государственное казенное общеобразовательное учреждение Удмуртской Республики «Школа № 39» ","426009, Удмуртская Республика, г. Ижевск, ул. Парковая, 18","426009, Удмуртская Республика, г. Ижевск, ул. Парковая, 18"
"Удмуртская Республика","2020 год","Государственное казенное общеобразовательное учреждение Удмуртской Республики «Школа № 79 для детей с ограниченными возможностями здоровья»","426060, Удмуртская Республика, г. Ижевск, ул. 9 Января, 193А","426060, Удмуртская Республика, г. Ижевск, ул. 9 Января, 193А"
"Удмуртская Республика","2021 год","Государственное казенное общеобразовательное учреждение Удмуртской Республики «Воткинская школа для обучающихся с ограниченными возможностями здоровья»","427432, Удмуртская Республика, г. Воткинск, ул. Волгоградская, 1","427432, Удмуртская Республика, г. Воткинск, ул. Волгоградская, 1"
"Удмуртская Республика","2021 год","Государственное казенное общеобразовательное учреждение Удмуртской Республики «Старозятцинская школа-интернат»","427113, Республика Удмуртская, район Якшур-Бодьинский, д. Варавай, ул. Советская, 42","427113, Республика Удмуртская, район Якшур-Бодьинский, д. Варавай, ул. Советская, 42"
"Удмуртская Республика","2022 год","Государственное казенное общеобразовательное учреждение Удмуртской Республики «Якшур-Бодьинская школа-интернат»","427100, Удмуртская Республика, район Якшур-Бодьинский, с. Якшур-Бодья, ул. Пушиной, 75","427100, Удмуртская Республика, район Якшур-Бодьинский, с. Якшур-Бодья, ул. Пушиной, 75"
"Удмуртская Республика","2022 год","Государственное казенное общеобразовательное учреждение Удмуртской Республики «Школа № 256 для детей с нарушением зрения»","426075, Удмуртская Республика, г. Ижевск, ул. Молодежная, 88","426075, Удмуртская Республика, г. Ижевск, ул. Молодежная, 88"
"Удмуртская Республика","2023 год","Государственное казенное общеобразовательное учреждение Удмуртской Республики «Школа-интернат № 15 для детей с ограниченными возможностями здоровья»","426009, Удмуртская Республика, г. Ижевск, ул. Рылеева, 1 А","426009, Удмуртская Республика, г. Ижевск, ул. Рылеева, 1 А"
"Удмуртская Республика","2023 год","Государственное казенное общеобразовательное учреждение Удмуртской Республики «Школа № 101»","426073, Удмуртская Республика, г. Ижевск, ул. Союзная, 69","426073, Удмуртская Республика, г. Ижевск, ул. Союзная, 69"
"Удмуртская Республика","2023 год","Государственное казенное общеобразовательное учреждение Удмуртской Республики «Средняя общеобразовательная школа-интернат № 19 г. Сарапула»","427960, Удмуртская Республика, г. Сарапул, ул. Горького, 30","427960, Удмуртская Республика, г. Сарапул, ул. Горького, 30, ул. Первомайская, 33"
"Удмуртская Республика","2023 год","Государственное казенное общеобразовательное учреждение Удмуртской Республики «Зуринская школа-интернат»","427161, Удмуртская Республика, район Игринский, с. Зура, ул. Луначарского, 6","427161, Удмуртская Республика, район Игринский, с. Зура, ул. Луначарского, 6"
"Удмуртская Республика","2023 год","Государственное казенное общеобразовательное учреждение Удмуртской Республики «Озоно-Чепецкая школа-интернат»","427595, Удмуртская Республика, район Кезский, с. Чепца, ул. Луппова, 8","427595, Удмуртская Республика, район Кезский, с. Чепца, ул. Луппова, 8"
"Удмуртская Республика","2024 год","Государственное казенное общеобразовательное учреждение Удмуртской Республики «Ярская специальная (коррекционная) общеобразовательная школа-интернат»","427500, Удмуртская Республика, район Ярский, пос. Яр, ул. Вершининой, 6","427500, Удмуртская Республика, район Ярский, пос. Яр, ул. Вершининой, 6"
"Республика Хакасия","2020 год","Государственное бюджетное общеобразовательное учреждение Республики Хакасия «Школа-интернат для детей с нарушениями слуха»","655016, Республика Хакасия, г. Абакан, просп. Дружбы народов, 31, А","655016, Республика Хакасия, г. Абакан, просп. Дружбы народов, 31, А"
"Республика Хакасия","2021 год","Государственное бюджетное общеобразовательное учреждение Республики Хакасия «Школа-интернат для детей с нарушениями зрения»","655009, Республика Хакасия, г. Абакан, ул. Белоярская, 60","655009, Республика Хакасия, г. Абакан, ул. Белоярская, 60"
"Республика Хакасия","2021 год","Муниципальное бюджетное общеобразовательное учреждение города Абакана «Основная общеобразовательная школа № 17»","655017, Республика Хакасия, г. Абакан, ул. Хлебная, 28","655017, Республика Хакасия, г. Абакан, ул. Хлебная, 28"
"Республика Хакасия","2022 год","Муниципальное бюджетное общеобразовательное учреждение города Абакана «Основная общеобразовательная школа № 27»","655017, Республика Хакасия, г. Абакан, ул. Щетинкина, 32А","655017, Республика Хакасия, г. Абакан, ул. Щетинкина, 32А"
"Чеченская Республика","2020 год","ГБОУ «Специальная (коррекционная) общеобразовательная школа-интернат для глухих и слабослышащих»","364001, Чеченская Республика, г. Грозный, ул. имени Абдаллы 2 Бен Аль-Хусейна, 15","364001, Чеченская Республика, г. Грозный, ул. имени Абдаллы 2 Бен Аль-Хусейна, 15"
"Чеченская Республика","2020 год","МБОУ «Специальная (коррекционная) школа для детей с ограниченными возможностями здоровья» г. Грозного","364024, Чеченская Республика, г. Грозный, ул. Алтайская, д. 42","364024, Чеченская Республика, г. Грозный, ул. Алтайская, д. 42"
"Чеченская Республика","2021 год","МБОУ «Специальная (коррекционная) общеобразовательная школа г. Аргун»","366310, Чеченская Республика, г. Аргун, ул. С. Аксактемирова, д. 27А","366310, Чеченская Республика, г. Аргун, ул. С. Аксактемирова, д. 27А"
"Чувашская Республика – Чувашия","2020 год","Бюджетное общеобразовательное учреждение Чувашской Республики «Чебоксарская общеобразовательная школа для обучающихся c ограниченными возможностями здоровья № 1» Министерства образования и молодежной политики Чувашской Республики","428027, Чувашская Республика – Чувашия, г. Чебоксары, ул. Хузангая, д. 31/15","428027, Чувашская Республика – Чувашия, г. Чебоксары, ул. Хузангая, д. 31/15"
"Чувашская Республика – Чувашия","2021 год","Бюджетное общеобразовательное учреждение Чувашской Республики «Кугесьская общеобразовательная школа-интернат для обучающихся с ограниченными возможностями здоровья» Министерства образования и молодежной политики Чувашской Республики","429500, Чувашская Республика - Чувашия, район Чебоксарский, пос. Кугеси, ул. Шоршелская, 5","429500, Чувашская Республика - Чувашия, район Чебоксарский, пос. Кугеси, ул. Шоршелская, 5"
"Чувашская Республика – Чувашия","2021 год","Бюджетное общеобразовательное учреждение Чувашской Республики «Чебоксарская общеобразовательная школа-интернат для обучающихся c ограниченными возможностями здоровья» Министерства образования и молодежной политики Чувашской Республики","428012, Чувашская Республика – Чувашия, г. Чебоксары, ул. Яблочкова, 3","428012, Чувашская Республика – Чувашия, г. Чебоксары, ул. Яблочкова, 3"
"Чувашская Республика – Чувашия","2022 год","Бюджетное общеобразовательное учреждение Чувашской Республики «Калининская общеобразовательная школа-интернат для обучающихся с ограниченными возможностями здоровья» Министерства образования и молодежной политики Чувашской Республики","429212, Чувашская Республика – Чувашия, район Вурнарский, с. Калинино, ул. Советская, 20","429212, Чувашская Республика – Чувашия, район Вурнарский, с. Калинино, ул. Советская, 20"
"Чувашская Республика – Чувашия","2022 год","Бюджетное общеобразовательное учреждение Чувашской Республики «Цивильская общеобразовательная школа-интернат для обучающихся c ограниченными возможностями здоровья № 1» Министерства образования и молодежной политики Чувашской Республики","429900, Чувашская Республика – Чувашия, район Цивильский, г. Цивильск, ул. Павла Иванова, 9А","429900, Чувашская Республика – Чувашия, район Цивильский, г. Цивильск, ул. Первомайская, 70"
"Чувашская Республика – Чувашия","2022 год","Бюджетное общеобразовательное учреждение Чувашской Республики «Саланчикская общеобразовательная школа-интернат для обучающихся с ограниченными возможностями здоровья» Министерства образования и молодежной политики Чувашской Республики","429111, Чувашская Республика – Чувашия, район Шумерлинский, пос. Саланчик, ул. Николаева, 4","429111, Чувашская Республика – Чувашия, район Шумерлинский, пос. Саланчик, ул. Николаева, 4"
"Алтайский край","2020 год","Краевое государственное бюджетное общеобразовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья «Барнаульская общеобразовательная школа-интернат № 4»","656036, край Алтайский, г. Барнаул, ул. Малахова, д. 20","656036, край Алтайский, г. Барнаул, ул. Малахова, д. 20"
"Алтайский край","2020 год","Краевое государственное бюджетное общеобразовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья «Благовещенская общеобразовательная школа-интернат»","658670, край Алтайский, район Благовещенский, р.п. Благовещенка, пер. Колхозный, д. 114","658670, край Алтайский, район Благовещенский, р.п. Благовещенка, пер. Колхозный, д. 114"
"Алтайский край","2021 год","Краевое государственное бюджетное общеобразовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья «Заринская общеобразовательная школа-интернат»","659100, край Алтайский, г. Заринск, ул. Таратынова, д. 1/1","659100, край Алтайский, г. Заринск, ул. Таратынова, д. 1/1"
"Алтайский край","2021 год","Краевое государственное бюджетное общеобразовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья «Барнаульская общеобразовательная школа-интернат № 3»","656057, край Алтайский, г. Барнаул, ул. Панфиловцев, 29","656057, край Алтайский, г. Барнаул, ул. Панфиловцев, 29"
"Алтайский край"," 2022 год","Краевое государственное бюджетное общеобразовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья «Озерская общеобразовательная школа-интернат»","658015, край Алтайский, район Тальменский, с. Озерки, ул. Майская, д. 100","658015, край Алтайский, район Тальменский, с. Озерки, ул. Майская, д. 100"
"Алтайский край"," 2022 год","Краевое государственное бюджетное общеобразовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья «Славгородская общеобразовательная школа-интернат»","658820, край Алтайский, г. Славгород, ул. Ленина, д. 243А","658820, край Алтайский, г. Славгород, ул. Ленина, д. 243А"
"Алтайский край"," 2022 год","Краевое государственное бюджетное общеобразовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья «Павловская общеобразовательная школа-интернат»","659000, край Алтайский, район Павловский, с. Павловск, ул. Коминтерна, 2","659000, край Алтайский, район Павловский, с. Павловск, ул. Коминтерна, 2"
"Алтайский край","2023 год","Краевое государственное бюджетное общеобразовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья «Барнаульская общеобразовательная школа-интернат № 1»","656906, край Алтайский, г. Барнаул, р.п. Южный, просп. Дзержинского, 9","656906, край Алтайский, г. Барнаул, р.п. Южный, просп. Дзержинского, 9"
"Алтайский край","2023 год","Краевое государственное бюджетное общеобразовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья «Алтайская общеобразовательная школа-интернат»","659650, край Алтайский, район Алтайский, с. Алтайское, ул. В.С. Ершова, 33","659650, край Алтайский, район Алтайский, с. Алтайское, ул. В.С. Ершова, 33"
"Алтайский край","2023 год","Краевое государственное бюджетное общеобразовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья «Алейская общеобразовательная школа-интернат»","658130, край Алтайский, г. Алейск, ул. им. В. Олешко, д. 70","658130, край Алтайский, г. Алейск, ул. им. В. Олешко, д. 70"
"Алтайский край","2023 год","Краевое государственное бюджетное общеобразовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья «Кокшинская общеобразовательная школа-интернат»","659547, край Алтайский, район Советский, с. Кокши, ул. Братьев Иванцовых, 11","659547, край Алтайский, район Советский, с. Кокши, ул. Братьев Иванцовых, 11"
"Забайкальский край","2020 год","Государственное общеобразовательное учреждение «Забайкальский центр специального образования и развития «Открытый мир»","672028, край Забайкальский, г. Чита, ул. Дошкольная, д. 2, к. 1","672038, край Забайкальский, г. Чита, ул. Шилова, д. 32"
"Забайкальский край","2020 год","Государственное общеобразовательное учреждение «Петровск-Забайкальская специальная (коррекционная) школа – интернат»","673005, край Забайкальский, район Петровск-Забайкальский, г. Петровск-Забайкальский, ул. Металлургов, д. 220","673005, край Забайкальский, район Петровск-Забайкальский, г. Петровск-Забайкальский, ул. Металлургов, д. 220"
"Забайкальский край","2021 год","Муниципальное казенное общеобразовательное учреждение «Специальная коррекционная общеобразовательная школа № 10»","674673, край Забайкальский, район Краснокаменский, г. Краснокаменск, ул. Центральная, д. 8","674673, край Забайкальский, район Краснокаменский, г. Краснокаменск, ул. Центральная, д. 8"
"Забайкальский край","2021 год","Государственное общеобразовательное учреждение «Урульгинская специальная (коррекционная) школа-интернат»","673335, край Забайкальский, район Карымский, с. Урульга, ул. Коммунальная, 86","673335, край Забайкальский, район Карымский, с. Урульга, ул. Коммунальная, 86"
"Забайкальский край","2022 год","Государственное общеобразовательное учреждение «Читинская специальная (коррекционная) общеобразовательная школа»","672003, край Забайкальский, г. Чита, ул. Трактовая, 40","672003, край Забайкальский, г. Чита, ул. Трактовая, 40"
"Камчатский край","2020 год","Краевое государственное общеобразовательное бюджетное учреждение «Камчатская школа-интернат для обучающихся ограниченными возможностями здоровья»","683024, край Камчатский, г. Петропавловск-Камчатский, просп. 50 лет Октября, 13 Б","683024, край Камчатский, г. Петропавловск-Камчатский, просп. 50 лет Октября, 13 Б"
"Камчатский край","2021 год","Краевое государственное общеобразовательное бюджетное учреждение «Петропавловск-Камчатская школа № 2 для обучающихся с ограниченными возможностями здоровья»","683031, край Камчатский, г. Петропавловск-Камчатский, ул. Тушканова, д. 31","683031, край Камчатский, г. Петропавловск-Камчатский, ул. Тушканова, д. 31"
"Камчатский край","2021 год","Краевое государственное общеобразовательное бюджетное учреждение «Петропавловск-Камчатская школа № 1 для обучающихся с ограниченными возможностями здоровья»","683032, край Камчатский, г. Петропавловск-Камчатский, ул. Пограничная, д. 101","683042, край Камчатский, г. Петропавловск-Камчатский, ул. Дальняя, д. 42"
"Краснодарский край","2020 год","Государственное бюджетное общеобразовательное учреждение Краснодарского края специальная (коррекционная) школа-интернат № 15 г. Краснодара","350015, край Краснодарский, г. Краснодар, ул. Кузнечная, 167","350015, край Краснодарский, г. Краснодар, ул. Кузнечная, 167"
"Краснодарский край","2020 год","Государственное казенное общеобразовательное учреждение Краснодарского края специальная (коррекционная) школа-интернат № 2 г. Сочи","354053, край Краснодарский, г. Сочи, ул. Плеханова, 42","354053, край Краснодарский, г. Сочи, ул. Плеханова, 42"
"Краснодарский край","2021 год","Государственное казенное общеобразовательное учреждение Краснодарского края специальная (коррекционная) школа-интернат пгт Ильского","353230, край Краснодарский, район Северский, пгт. Ильский, ул. Советская, 118","353230, край Краснодарский, район Северский, пгт. Ильский, ул. Советская, 118"
"Краснодарский край","2021 год","Государственное казенное общеобразовательное учреждение Краснодарского края специальная (коррекционная) школа-интернат № 2 г. Армавира","352900, край Краснодарский, г. Армавир, ул. Советской Армии, 178","352900, край Краснодарский, г. Армавир, ул. Советской Армии, 178"
"Краснодарский край","2022 год","Государственное бюджетное общеобразовательное учреждение Краснодарского края специальная (коррекционная) школа-интернат № 2 г. Абинска","353320, край Краснодарский, район Абинский, г. Абинск, ул. Советов, 188","353320, край Краснодарский, район Абинский, г. Абинск, ул. Советов, 188"
"Краснодарский край","2022 год","Государственное казенное общеобразовательное учреждение Краснодарского края специальная (коррекционная) школа № 15 г. Славянска-на-Кубани","353564, край Краснодарский, район Славянский, г. Славянск-на-Кубани, ул. Стаханова, д. 16","353564, край Краснодарский, район Славянский, г. Славянск-на-Кубани, ул. Стаханова, д. 16"
"Краснодарский край","2022 год","Государственное бюджетное общеобразовательное учреждение Краснодарского края специальная (коррекционная) школа № 91 г. Краснодара","350000, край Краснодарский, г. Краснодар, ул. им. Чапаева, 136","350000, край Краснодарский, г. Краснодар, ул. им. Чапаева, 136"
"Краснодарский край"," 2023 год","Государственное казенное общеобразовательное учреждение Краснодарского края специальная (коррекционная) школа-интернат ст-цы Крыловской","352080, край Краснодарский, район Крыловский, ст-ца Крыловская, ул. Октябрьская, 106","352080, край Краснодарский, район Крыловский, ст-ца Крыловская, ул. Октябрьская, 106"
"Краснодарский край"," 2023 год","Государственное казенное общеобразовательное учреждение Краснодарского края специальная (коррекционная) школа-интернат ст-цы Шкуринской","352000, край Краснодарский, район Кущевский, ст-ца Шкуринская, пер. Таганрогский, 14","352000, край Краснодарский, район Кущевский, ст-ца Шкуринская, пер. Таганрогский, 14"
"Краснодарский край"," 2023 год","Государственное бюджетное общеобразовательное учреждение Краснодарского края специальная (коррекционная) школа-интернат № 1 ст. Елизаветинской","350916, край Краснодарский, г. Краснодар, ст-ца Елизаветинская, ул. им. Ленина, 282","350916, край Краснодарский, г. Краснодар, ст-ца Елизаветинская, ул. им. Ленина, 282"
"Красноярский край","2020 год","Краевое государственное бюджетное общеобразовательное учреждение «Красноярская школа № 5»","660037, край Красноярский, г. Красноярск, ул. Московская, д. 31","660037, край Красноярский, г. Красноярск, ул. Московская, д. 31"
"Красноярский край","2020 год","Краевое государственное бюджетное общеобразовательное учреждение «Красноярская школа № 8»","660028, край Красноярский, г. Красноярск, ул. Новосибирская, 9","660028, край Красноярский, г. Красноярск, ул. Новосибирская, 9, стр.1, стр.5"
"Красноярский край"," 2021 год","Краевое государственное бюджетное общеобразовательное учреждение «Красноярская школа-интернат № 2»","660046, край Красноярский, г. Красноярск, ул. Автомобилистов, 141 А","660046, край Красноярский, г. Красноярск, ул. Автомобилистов, 141 А"
"Красноярский край"," 2021 год","Краевое государственное бюджетное общеобразовательное учреждение «Железногорская школа-интернат»","662972, край Красноярский, г. Железногорск, ул. Свердлова, 63","662972, край Красноярский, г. Железногорск, ул. Свердлова, 63"
"Красноярский край","2022 год","Краевое государственное бюджетное общеобразовательное учреждение «Красноярская школа № 10»","660046, край Красноярский, г. Красноярск, ул. Амурская, д. 2","660046, край Красноярский, г. Красноярск, ул. Амурская, д. 2"
"Красноярский край","2022 год","Краевое государственное бюджетное общеобразовательное учреждение «Красноярская школа № 4»","660042, край Красноярский, г. Красноярск, ул. 60 лет Октября, 23","660042, край Красноярский, г. Красноярск, ул. 60 лет Октября, 23 660042, край Красноярский, г. Красноярск, ул. 60 лет Октября, 23, стр. 1"
"Красноярский край","2022 год","Краевое государственное бюджетное общеобразовательное учреждение «Красноярская школа № 3»","660122, край Красноярский, г. Красноярск, ул. Академика Павлова, 56","660122, край Красноярский, г. Красноярск, ул. Академика Павлова, 56"
