"stringnumber","shortname","fullname","site","edudirection","eduprogram","federaldistrict","regoin","legaladdress","submission","headname","phone","email","briefinformation","regnumber","taxpayernumber","regcode"
"27",""Кванториум Башкортостана"","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ РЕСПУБЛИКАНСКИЙ ДЕТСКИЙ ОБРАЗОВАТЕЛЬНЫЙ ТЕХНОПАРК","http://rtekhnopark.wixsite.com/rdot/o-nas","Аэрокосмическая школа  Автоконструирование  Компьютерная графика и анимация  Программирование и IT- технологии  Графический дизайн и 3D- моделирование  Клуб «Авиатор»  Лаборатория электроники и робототехники ","Роботы  квадрокоптеры  3д-моделирование  системное администрирование  мехатроника и прототипирование","Приволжский","Республика Башкортостан","450077  Россия  Башкортостан  город Уфа  ул. Кирова  дом 43"," МИНИСТЕРСТВО ОБРАЗОВАНИЯ РЕСПУБЛИКИ БАШКОРТОСТАН  МИНИСТЕРСТВО ИМУЩЕСТВЕННЫХ ОТНОШЕНИЙ РЕСПУБЛИКИ БАШКОРТОСТАН ","Семёнова Оксана Евгеньевна","8 (347) 273-39-86","rtekhnopark@mail.ru","Первые две площадки в Уфе располагаются на базе Республиканского детского образовательного технопарка и в «Гагарин-центре»  третья в г. Благовещенск. 1 центр рассчитан в среднем на 500 человек","1020202555603","274072720","27401001"
"28","Детский технопарк Кванториум ","Структурное подразделение ГАУ ДО РК дополнительного образования Детский технопарк Кванториум ","http://rcdokomi.ru/","робоквантум  автоквантум  аэроквантум  биоквантум  энерджиквантум  медиаквантум   hi-tech цех","авиастроение беспилотных летательных аппаратов  программирование   мехатроника  электроника  альтернативная энергетика  дополненная и виртуальная реальность  программы компьютерного зрения  систем трекинга  3D моделирования  биотехнологии  методы цифровой обработки на 3D принтерах  станках с ЧПУ  физико-математические основы космонавтики  медиатехнологии ","Северо-Западный","Республика Коми","Республика Коми  Сыктывкар  улица Коммунистическая  3"," МИНИСТЕРСТВО ОБРАЗОВАНИЯ НАУКИ И МОЛОДЕЖНОЙ ПОЛИТИКИ РЕСПУБЛИКИ КОМИ ","Арабова Н.В.","8212 24 10 48","rcdo@minobr.rkomi.ru","Дополнительно будет работать "Юный квант" - школа будущего инженера для детей от четырех до семи лет. Второе уникальное направление – отдельный класс теоретической подготовки по изучению правил дорожного движения. Это направление будет дополнено специальной автомашиной с мобильным автогородком. Преподаватель будет курсировать по республике и обучать местных детей ПДД. Класс автоквантума стилизован под гараж  с аутентичными лампами и граффити на стене. Там же есть настоящие двигатели  которые дети смогут разобрать-собрать.","1021100508131","1101481870","110101001"
"29","Кванториум - 63 регион","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ САМАРСКОЙ ОБЛАСТИ "САМАРСКИЙ ОБЛАСТНОЙ ЦЕНТР ДЕТСКО-ЮНОШЕСКОГО ТЕХНИЧЕСКОГО ТВОРЧЕСТВА"","http://xn--63-6kch5ajrgjuup.xn--p1ai/","аэроквантум  VR-квантум   IT-квантум  космоквантум  робоквантум  ","авиастроение беспилотных летательных аппаратов  программирование   мехатроника  электроника  дополненная и виртуальная реальность  программы компьютерного зрения  систем трекинга  3D моделирования  биотехнологии  методы цифровой обработки на 3D принтерах  станках с ЧПУ  физико-математические основы космонавтики  медиатехнологии ","Приволжский","Самарская область","443056 Самара  пр-т Масленникова  37","МИНИСТЕРСТВО ОБРАЗОВАНИЯ И НАУКИ САМАРСКОЙ ОБЛАСТИ   МИНИСТЕРСТВО ИМУЩЕСТВЕННЫХ ОТНОШЕНИЙ САМАРСКОЙ ОБЛАСТИ ","Трещанин М. И."," 8 (846) 952-76-49","kvantorium63@gmail.com","","1026301713789","6319077746","631901001"
"30","Кванториум - 63 регион","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ САМАРСКОЙ ОБЛАСТИ "САМАРСКИЙ ОБЛАСТНОЙ ЦЕНТР ДЕТСКО-ЮНОШЕСКОГО ТЕХНИЧЕСКОГО ТВОРЧЕСТВА"","http://xn--63-6kch5ajrgjuup.xn--p1ai/"," IT-квантум  робоквантум  автоквантум  наноквантум  промышленный дизайн ","авиастроение беспилотных летательных аппаратов  программирование   мехатроника  электроника  3D моделирования   методы цифровой обработки на 3D принтерах  станках с ЧПУ  физико-математические основы космонавтики","Приволжский","Самарская область","Тольятти  Южное шоссе  д. 161","МИНИСТЕРСТВО ОБРАЗОВАНИЯ И НАУКИ САМАРСКОЙ ОБЛАСТИ   МИНИСТЕРСТВО ИМУЩЕСТВЕННЫХ ОТНОШЕНИЙ САМАРСКОЙ ОБЛАСТИ ","Трещанин М. И."," 8 (846) 952-76-49","kvantorium@tgl.net.ru","","1026301713789","6319077746","631901001"
"31","Детский технопарк "Кванториум"","Структурное подразделение АУ Региональный центр информатизации и оценки качества образования","http://kvant18.ru/ ","робоквантум  IT-квантум  аэроквантум  общетехнический  промышленный дизайн  HI-TECH цех  VR/AR квантум  предкванториум","авиастроение беспилотных летательных аппаратов  программирование   мехатроника  электроника  3D моделирования   методы цифровой обработки на 3D принтерах  станках с ЧПУ  физико-математические основы космонавтики","Приволжский","Удмуртская республика","426057  Удмуртская Республика  г. Ижевск  ул. Ленина  16 "," МИНИСТЕРСТВО ОБРАЗОВАНИЯ И НАУКИ УДМУРТСКОЙ РЕСПУБЛИКИ ","Давыдова С. М.","8 (3412) 311-200 "," rcit@obr18.ru ","Для детей младшего возраста будут разработаны программы «Предкванториума»  которые в данное время в стадии разработки и согласования.","1111841008828","1841019516","184101001"
"32","Технопарк "Кванториум"","ГАУДО МО Мурманский областной центр дополнительного образования «Лапландия»","http://kvantorium51.org","робоквантум  IT-квантум  геоквантум  биоквантум  промышленный дизайн  HI-TECH цех","авиастроение беспилотных летательных аппаратов  программирование   мехатроника  электроника  3D моделирования   методы цифровой обработки на 3D принтерах  станках с ЧПУ  физико-математические основы космонавтики","Северо-Западный","Мурманская область","183031  г. Мурманск  пр-т Героев-Североморцев  д. 2","МИНИСТЕРСТВО ОБРАЗОВАНИЯ И НАУКИ МУРМАНСКОЙ ОБЛАСТИ ","Сагайдачная В.В.","8 (8152) 43-49-69","kvantorium51@laplandiya.org","В квантопарке детского технопарка «Кванториум» есть многофункциональные помещения: лекторий  оснащенный мультимедийной техникой для проведения семинаров  лекций  коллоквиумов и других форм лекционной деятельности  в том числе онлайн-конференций  открытые и закрытые площадки для тестирования устройств и механизмов (трехэтажное фойе  крытый бассейн  прилегающая территория для испытания образцов техники).","1085190009079","5190187040","519001001"
"33"," Кванториум «Сампо»","Детский технопарк кванториум «Сампо»  ГБОУ ДО Ресурсный центр развития дополнительного образования","http://rovesnik.karelia.ru/index.php?option=com_zoo&view=category&layout=category&Itemid=300","аэроквантум  робоквантум  геоквантум  IT-квантум  энерджиквантум  промышленный дизайн","авиастроение беспилотных летательных аппаратов  программирование   мехатроника  электроника  3D моделирования   методы цифровой обработки на 3D принтерах  станках с ЧПУ  физико-математические основы космонавтики","Северо-Западный","Республика Карелия","185035  Республика Карелия  г. Петрозаводск  ул. Крупской  д. 12","Министерства образования Республики Карелия","Фомичев Я.В."," 8 (8142) 77-49-08","youthcentr@mail.ru","ежегодное обучение 800 детей Карелии на бесплатной основе","1051000023073","1001049089","100101001"
"34","Кванториум 76","Ярославская область Структурное подразделение ГАОУ ДО Центр детско-юношеского технического творчества","http://kvantorium.edu.yar.ru/","аэроквантум  робоквантум  IT-квантум  энерджиквантум  наноквантум  HI-TECH цех","авиастроение беспилотных летательных аппаратов  программирование   мехатроника  электроника  3D моделирования   методы цифровой обработки на 3D принтерах  станках с ЧПУ  физико-математические основы космонавтики","Центральный","Ярославская область","Ярославская область г. Рыбинск ул. Крестовая д.133"," АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА ГОРОД РЫБИНСК ","Талова Т.М."," 8(4852)329710","kvantorium76@mail.ru","","1027601113396","7610051175","761001001"
"35","Детский технопарк "Дружба""," ОГБУ ДО РЦДО Детский технопарк «Кванториум «Дружба»","http://www.crtdiu.ru/administratsiya/","робоквантум  аэроквантум   промышленный дизайн   итквантум  наноквантум ","авиастроение беспилотных летательных аппаратов  программирование   мехатроника  электроника  3D моделирования   методы цифровой обработки на 3D принтерах  станках с ЧПУ  физико-математические основы космонавтики","Центральный","Рязанская область"," 390000 г. Рязань  ул. Свободы  дом 65","МИНИСТЕРСТВО ИМУЩЕСТВЕННЫХ И ЗЕМЕЛЬНЫХ ОТНОШЕНИЙ РЯЗАНСКОЙ ОБЛАСТИ  МИНИСТЕРСТВО ОБРАЗОВАНИЯ РЯЗАНСКОЙ ОБЛАСТИ","Егорова В.В."," 8 (4912) 25-28-15","centrtvor@mail.ru","на базе технопарка будут заниматься более 800 юных жителей региона.","1106234000894","6234076743","623401001"
"36","Кванториум НЭЛ","Пензенская область Автономная некоммерческая организация дополнительного образования «Кванториум НЭЛ» ","http://xn--80ajgxi.xn--80ajqkfgik2a.xn--d1acj3b/%D0%BC%D0%B5%D1%82%D0%BA%D0%B8/%D0%BA%D0%B2%D0%B0%D0%BD%D1%82%D0%BE%D1%80%D0%B8%D1%83%D0%BC","робоквантум  IT-квантум  наноквант   биоквантум  промышленный дизайн  HI-TECH цех","авиастроение беспилотных летательных аппаратов  программирование   мехатроника  электроника  3D моделирования   методы цифровой обработки на 3D принтерах  станках с ЧПУ  физико-математические основы космонавтики","Приволжский","Пензенская область","Пенза  ул. Центральная  1В  Технопарк «Рамеев»  блок 1А"," ДЕПАРТАМЕНТ ГОСУДАРСТВЕННОГО ИМУЩЕСТВА ПЕНЗЕНСКОЙ ОБЛАСТИ  МИНИСТЕРСТВО ОБРАЗОВАНИЯ ПЕНЗЕНСКОЙ ОБЛАСТИ ","Тимирбаев Д.Ф.","","","Кванториум НЭЛ» расположился в технопарке «Рамеев». 800 ребят станут заниматься научной деятельностью и творчеством.","1175800000639","5837069945","583701001"
"37","Детский технопарк "Кванториум"","Тамбовское областное государственное бюджетное образовательное учреждение дополнительного образования «Центр развития творчества детей и юношества»","http://dopobr.68edu.ru/structure/otdel-nauchno-texnicheskoj-deyatelnosti/detskij-texnopark-kvantorium-tambov","робоквантум  IT-квантум  лазерквантум  космоквантум  промышленный дизайн","авиастроение беспилотных летательных аппаратов  программирование   мехатроника  электроника  3D моделирования   методы цифровой обработки на 3D принтерах  станках с ЧПУ  физико-математические основы космонавтики","Центральный","Тамбовская область","Тамбов  ул. Державинская  д.10","УПРАВЛЕНИЕ ОБРАЗОВАНИЯ И НАУКИ ТАМБОВСКОЙ ОБЛАСТИ ","Трунов Д.В.","8 (4752)72-13-71","tmb-dopobr@yandex.ru","Ожидается  что ежегодно в технопарке будут обучать по дополнительным общеобразовательным программам минимум 800 детей. Возраст учеников – от пяти до 18 лет.","1116829008670","6829078627","682901001"
"38","Кванториум Ставрополь","Ставропольский край Центр «Кванториум «Ставрополь»  Структурное подразделение ГУП «Корпорации развития Ставропольского края»","http://stavkvantorium.ru/","робоквантум  биоквантум  геоквантум  энерджиквантум  IT-квантум  HI-TECH цех ","авиастроение беспилотных летательных аппаратов  программирование   мехатроника  электроника  3D моделирования   методы цифровой обработки на 3D принтерах  станках с ЧПУ  физико-математические основы космонавтики  альтернативная энергетика","Северо=Кавказский","Ставропольский край","Ставропольский край  Шпаковский район  г. Михайловск  ул. Привокзальная  3","МИНИСТЕРСТВО ЭКОНОМИЧЕСКОГО РАЗВИТИЯ СТАВРОПОЛЬСКОГО КРАЯ ","Ларина Т.В.","8 (8652) 33-33-83","info@stavkvantorium.ru","","1092635015956","2634088104","262301001"
"39","Детский технопарк "Кванториум"","Детский технопарк "Кванториум"","http://xn--80aaaa2chc7eta.xn--80ajqkfgik2a.xn--d1acj3b/","IT-квантум  робоквантум  аэроквантум  VR/AR-квантум  промдизайнквантум  Hi-Tech цех","авиастроение беспилотных летательных аппаратов  программирование   мехатроника  электроника  3D моделирования   методы цифровой обработки на 3D принтерах  станках с ЧПУ  физико-математические основы космонавтики  дополненная и виртуальная реальность","Северо=Кавказский","Республики Дагестан","г. Махачкала  ул. М.Омарова  д. 3","Министерство образования и науки Республики Дагестан","","8 909 480-69-66","marat901@bk.ru","","","",""
